Geography,Total Population - Estimate,"Total Population - 
Margin of Error",Hispanic or Latino - Estimate,"Hispanic or Latino -
Margin of Error",Hispanic or Latino - Percent,Hispanic or Latino - Percent Margin of Error,"White alone, Not Hispanic or Latino - 
Estimate","White alone, Not Hispanic or Latino -
Margin of Error","White alone, Not Hispanic or Latino - 
Percent","White alone, Not Hispanic or Latino - Percent Margin of Error","Black alone, Not Hispanic or Latino - Estimate","Black alone, Not Hispanic or Latino -
Margin of Error","Black alone, Not Hispanic or Latino - Percent","Black alone, Not Hispanic or Latino - Percent Margin of Error","American Indian and Alaska Native alone, Not Hispanic or Latino - Estimate","American Indian and Alaska Native alone, Not Hispanic or Latino - Margin of Error","American Indian and Alaska Native alone, Not Hispanic or Latino - Percent","American Indian and Alaska Native alone, Not Hispanic or Latino - Percent Margin of Error","Asian alone, Not Hispanic or Latino - Estimate","Asian alone, Not Hispanic or Latino - 
Margin of Error","Asian alone, Not Hispanic or Latino - Percent","Asian alone, Not Hispanic or Latino - Percent Margin of Error","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Estimate","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Margin of Error","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Percent","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Percent Margin of Error","Some other race alone, Not Hispanic or Latino - 
Estimate","Some other race alone, Not Hispanic or Latino - 
Margin of Error","Some other race alone, Not Hispanic or Latino - 
Percent","Some other race alone, Not Hispanic or Latino - 
Percent Margin of Error","Two or more races alone, Not Hispanic or Latino - Estimate","Two or more races alone, Not Hispanic or Latino - Margin of Error","Two or more races alone, Not Hispanic or Latino - Percent","Two or more races alone, Not Hispanic or Latino - Percent Margin of Error"
Live Oak city,"8,679",+/-61,"4,403",+/-451,50.7%,+/-5.2,"3,283",+/-480,37.8%,+/-5.5,176,+/-185,2.0%,+/-2.1,42,+/-31,0.5%,+/-0.4,502,+/-242,5.8%,+/-2.8,8,+/-10,0.1%,+/-0.1,7,+/-13,0.1%,+/-0.2,258,+/-146,3.0%,+/-1.7
Meridian CDP,371,+/-85,70,+/-45,18.9%,+/-10.5,267,+/-71,72.0%,+/-10.8,11,+/-18,3.0%,+/-4.7,2,+/-3,0.5%,+/-0.8,3,+/-5,0.8%,+/-1.4,0,+/-12,0.0%,+/-9.0,0,+/-12,0.0%,+/-9.0,18,+/-18,4.9%,+/-4.8
Nicolaus CDP,148,+/-43,44,+/-25,29.7%,+/-11.8,104,+/-29,70.3%,+/-11.8,0,+/-12,0.0%,+/-20.9,0,+/-12,0.0%,+/-20.9,0,+/-12,0.0%,+/-20.9,0,+/-12,0.0%,+/-20.9,0,+/-12,0.0%,+/-20.9,0,+/-12,0.0%,+/-20.9
Rio Oso CDP,350,+/-92,3,+/-4,0.9%,+/-1.3,309,+/-85,88.3%,+/-4.9,0,+/-12,0.0%,+/-9.5,0,+/-12,0.0%,+/-9.5,36,+/-19,10.3%,+/-4.8,0,+/-12,0.0%,+/-9.5,0,+/-12,0.0%,+/-9.5,2,+/-3,0.6%,+/-0.9
Robbins CDP,421,+/-111,330,+/-119,78.4%,+/-12.3,91,+/-46,21.6%,+/-12.3,0,+/-12,0.0%,+/-8.0,0,+/-12,0.0%,+/-8.0,0,+/-12,0.0%,+/-8.0,0,+/-12,0.0%,+/-8.0,0,+/-12,0.0%,+/-8.0,0,+/-12,0.0%,+/-8.0
Sutter CDP,"3,005",+/-280,449,+/-124,14.9%,+/-4.2,"2,215",+/-278,73.7%,+/-5.3,0,+/-12,0.0%,+/-1.2,61,+/-49,2.0%,+/-1.7,116,+/-162,3.9%,+/-5.4,0,+/-12,0.0%,+/-1.2,0,+/-12,0.0%,+/-1.2,164,+/-112,5.5%,+/-3.7
Trowbridge CDP,254,+/-93,12,+/-13,4.7%,+/-4.9,214,+/-84,84.3%,+/-11.9,5,+/-6,2.0%,+/-2.8,0,+/-12,0.0%,+/-12.8,0,+/-12,0.0%,+/-12.8,0,+/-12,0.0%,+/-12.8,0,+/-12,0.0%,+/-12.8,23,+/-26,9.1%,+/-9.2
Yuba City city,"66,516",+/-51,"19,833",+/-657,29.8%,+/-1.0,"28,260",+/-742,42.5%,+/-1.1,"1,397",+/-186,2.1%,+/-0.3,423,+/-138,0.6%,+/-0.2,"12,810",+/-688,19.3%,+/-1.0,287,+/-76,0.4%,+/-0.1,141,+/-138,0.2%,+/-0.2,"3,365",+/-598,5.1%,+/-0.9
Tehama County,"63,912",*****,"15,958",*****,25.0%,*****,"43,679",+/-15,68.3%,+/-0.1,472,+/-40,0.7%,+/-0.1,890,+/-261,1.4%,+/-0.4,967,+/-130,1.5%,+/-0.2,15,+/-21,0.0%,+/-0.1,11,+/-17,0.0%,+/-0.1,"1,920",+/-288,3.0%,+/-0.5
Bend CDP,498,+/-181,87,+/-105,17.5%,+/-18.2,411,+/-151,82.5%,+/-18.2,0,+/-12,0.0%,+/-6.8,0,+/-12,0.0%,+/-6.8,0,+/-12,0.0%,+/-6.8,0,+/-12,0.0%,+/-6.8,0,+/-12,0.0%,+/-6.8,0,+/-12,0.0%,+/-6.8
Corning city,"7,590",+/-23,"3,627",+/-733,47.8%,+/-9.7,"3,695",+/-725,48.7%,+/-9.6,73,+/-101,1.0%,+/-1.3,84,+/-102,1.1%,+/-1.4,33,+/-53,0.4%,+/-0.7,0,+/-17,0.0%,+/-0.5,0,+/-17,0.0%,+/-0.5,78,+/-96,1.0%,+/-1.3
Flournoy CDP,155,+/-63,39,+/-50,25.2%,+/-25.1,116,+/-47,74.8%,+/-25.1,0,+/-12,0.0%,+/-20.1,0,+/-12,0.0%,+/-20.1,0,+/-12,0.0%,+/-20.1,0,+/-12,0.0%,+/-20.1,0,+/-12,0.0%,+/-20.1,0,+/-12,0.0%,+/-20.1
Gerber CDP,"1,140",+/-348,663,+/-329,58.2%,+/-17.6,247,+/-113,21.7%,+/-11.4,0,+/-12,0.0%,+/-3.0,145,+/-190,12.7%,+/-16.3,0,+/-12,0.0%,+/-3.0,0,+/-12,0.0%,+/-3.0,0,+/-12,0.0%,+/-3.0,85,+/-99,7.5%,+/-9.1
Lake California CDP,"3,329",+/-653,594,+/-393,17.8%,+/-10.1,"2,624",+/-502,78.8%,+/-10.0,21,+/-35,0.6%,+/-1.1,0,+/-12,0.0%,+/-1.0,0,+/-12,0.0%,+/-1.0,0,+/-12,0.0%,+/-1.0,0,+/-12,0.0%,+/-1.0,90,+/-91,2.7%,+/-2.7
Las Flores CDP (Tehama County),361,+/-237,168,+/-161,46.5%,+/-34.6,193,+/-180,53.5%,+/-34.6,0,+/-12,0.0%,+/-9.2,0,+/-12,0.0%,+/-9.2,0,+/-12,0.0%,+/-9.2,0,+/-12,0.0%,+/-9.2,0,+/-12,0.0%,+/-9.2,0,+/-12,0.0%,+/-9.2
Los Molinos CDP,"1,746",+/-299,332,+/-230,19.0%,+/-11.8,"1,359",+/-263,77.8%,+/-11.9,0,+/-12,0.0%,+/-2.0,6,+/-13,0.3%,+/-0.7,15,+/-23,0.9%,+/-1.3,0,+/-12,0.0%,+/-2.0,0,+/-12,0.0%,+/-2.0,34,+/-34,1.9%,+/-2.0
Manton CDP,350,+/-169,26,+/-41,7.4%,+/-9.9,246,+/-128,70.3%,+/-25.3,0,+/-12,0.0%,+/-9.5,8,+/-12,2.3%,+/-3.1,1,+/-5,0.3%,+/-1.6,0,+/-12,0.0%,+/-9.5,0,+/-12,0.0%,+/-9.5,69,+/-87,19.7%,+/-21.5
Mineral CDP,359,+/-275,0,+/-12,0.0%,+/-9.3,313,+/-220,87.2%,+/-9.8,0,+/-12,0.0%,+/-9.3,0,+/-12,0.0%,+/-9.3,0,+/-12,0.0%,+/-9.3,0,+/-12,0.0%,+/-9.3,0,+/-12,0.0%,+/-9.3,46,+/-61,12.8%,+/-9.8
Paskenta CDP,102,+/-51,20,+/-29,19.6%,+/-23.5,77,+/-39,75.5%,+/-23.1,5,+/-8,4.9%,+/-8.0,0,+/-12,0.0%,+/-28.3,0,+/-12,0.0%,+/-28.3,0,+/-12,0.0%,+/-28.3,0,+/-12,0.0%,+/-28.3,0,+/-12,0.0%,+/-28.3
Paynes Creek CDP,78,+/-61,0,+/-12,0.0%,+/-34.3,67,+/-65,85.9%,+/-28.0,0,+/-12,0.0%,+/-34.3,0,+/-12,0.0%,+/-34.3,0,+/-12,0.0%,+/-34.3,0,+/-12,0.0%,+/-34.3,0,+/-12,0.0%,+/-34.3,11,+/-16,14.1%,+/-28.0
Proberta CDP,182,+/-204,13,+/-22,7.1%,+/-14.3,169,+/-196,92.9%,+/-14.3,0,+/-12,0.0%,+/-17.4,0,+/-12,0.0%,+/-17.4,0,+/-12,0.0%,+/-17.4,0,+/-12,0.0%,+/-17.4,0,+/-12,0.0%,+/-17.4,0,+/-12,0.0%,+/-17.4
Rancho Tehama Reserve CDP,"1,682",+/-454,657,+/-424,39.1%,+/-18.5,900,+/-276,53.5%,+/-17.0,9,+/-14,0.5%,+/-0.8,0,+/-12,0.0%,+/-2.1,13,+/-20,0.8%,+/-1.3,0,+/-12,0.0%,+/-2.1,0,+/-12,0.0%,+/-2.1,103,+/-101,6.1%,+/-5.9
Red Bluff city,"14,264",+/-39,"2,770",+/-604,19.4%,+/-4.2,"10,316",+/-663,72.3%,+/-4.6,238,+/-111,1.7%,+/-0.8,101,+/-65,0.7%,+/-0.5,359,+/-257,2.5%,+/-1.8,0,+/-19,0.0%,+/-0.2,0,+/-19,0.0%,+/-0.2,480,+/-214,3.4%,+/-1.5
Richfield CDP,300,+/-162,118,+/-102,39.3%,+/-21.8,180,+/-105,60.0%,+/-21.9,0,+/-12,0.0%,+/-11.0,0,+/-12,0.0%,+/-11.0,2,+/-5,0.7%,+/-1.6,0,+/-12,0.0%,+/-11.0,0,+/-12,0.0%,+/-11.0,0,+/-12,0.0%,+/-11.0
Tehama city,481,+/-131,82,+/-69,17.0%,+/-12.2,358,+/-105,74.4%,+/-13.5,0,+/-12,0.0%,+/-7.0,18,+/-26,3.7%,+/-4.9,7,+/-10,1.5%,+/-2.1,0,+/-12,0.0%,+/-7.0,0,+/-12,0.0%,+/-7.0,16,+/-18,3.3%,+/-3.6
Vina CDP,230,+/-63,60,+/-54,26.1%,+/-23.3,170,+/-81,73.9%,+/-23.3,0,+/-12,0.0%,+/-14.1,0,+/-12,0.0%,+/-14.1,0,+/-12,0.0%,+/-14.1,0,+/-12,0.0%,+/-14.1,0,+/-12,0.0%,+/-14.1,0,+/-12,0.0%,+/-14.1
Trinity County,"12,700",*****,927,*****,7.3%,*****,"10,427",+/-32,82.1%,+/-0.2,127,+/-102,1.0%,+/-0.8,698,+/-172,5.5%,+/-1.4,210,+/-22,1.7%,+/-0.2,28,+/-36,0.2%,+/-0.3,51,+/-33,0.4%,+/-0.3,232,+/-110,1.8%,+/-0.9
Burnt Ranch CDP,299,+/-120,5,+/-8,1.7%,+/-2.8,259,+/-100,86.6%,+/-9.9,0,+/-12,0.0%,+/-11.0,35,+/-37,11.7%,+/-10.1,0,+/-12,0.0%,+/-11.0,0,+/-12,0.0%,+/-11.0,0,+/-12,0.0%,+/-11.0,0,+/-12,0.0%,+/-11.0
Coffee Creek CDP,197,+/-80,2,+/-6,1.0%,+/-2.9,170,+/-66,86.3%,+/-12.6,0,+/-12,0.0%,+/-16.2,18,+/-30,9.1%,+/-12.5,3,+/-4,1.5%,+/-2.2,0,+/-12,0.0%,+/-16.2,4,+/-6,2.0%,+/-3.1,0,+/-12,0.0%,+/-16.2
Douglas City CDP,625,+/-187,28,+/-32,4.5%,+/-4.9,460,+/-149,73.6%,+/-12.8,0,+/-12,0.0%,+/-5.4,66,+/-53,10.6%,+/-8.2,71,+/-82,11.4%,+/-12.0,0,+/-12,0.0%,+/-5.4,0,+/-12,0.0%,+/-5.4,0,+/-12,0.0%,+/-5.4
Hayfork CDP,"2,711",+/-369,504,+/-155,18.6%,+/-5.1,"1,940",+/-304,71.6%,+/-7.0,35,+/-34,1.3%,+/-1.2,74,+/-112,2.7%,+/-4.2,87,+/-83,3.2%,+/-3.1,0,+/-12,0.0%,+/-1.3,0,+/-12,0.0%,+/-1.3,71,+/-68,2.6%,+/-2.5
Hyampom CDP,115,+/-124,0,+/-12,0.0%,+/-25.8,115,+/-124,100.0%,+/-25.8,0,+/-12,0.0%,+/-25.8,0,+/-12,0.0%,+/-25.8,0,+/-12,0.0%,+/-25.8,0,+/-12,0.0%,+/-25.8,0,+/-12,0.0%,+/-25.8,0,+/-12,0.0%,+/-25.8
Junction City CDP,682,+/-139,84,+/-63,12.3%,+/-8.1,526,+/-104,77.1%,+/-9.3,0,+/-12,0.0%,+/-5.0,60,+/-55,8.8%,+/-7.6,5,+/-8,0.7%,+/-1.2,0,+/-12,0.0%,+/-5.0,0,+/-12,0.0%,+/-5.0,7,+/-11,1.0%,+/-1.6
Lewiston CDP,"1,383",+/-261,45,+/-50,3.3%,+/-3.6,"1,128",+/-220,81.6%,+/-8.9,64,+/-91,4.6%,+/-6.4,62,+/-67,4.5%,+/-4.5,11,+/-19,0.8%,+/-1.4,0,+/-12,0.0%,+/-2.5,0,+/-12,0.0%,+/-2.5,73,+/-81,5.3%,+/-5.5
Mad River CDP,458,+/-130,22,+/-32,4.8%,+/-6.9,406,+/-122,88.6%,+/-8.1,0,+/-12,0.0%,+/-7.4,19,+/-24,4.1%,+/-4.9,0,+/-12,0.0%,+/-7.4,0,+/-12,0.0%,+/-7.4,4,+/-7,0.9%,+/-1.4,7,+/-11,1.5%,+/-2.5
Ruth CDP,170,+/-71,18,+/-31,10.6%,+/-17.6,152,+/-71,89.4%,+/-17.6,0,+/-12,0.0%,+/-18.5,0,+/-12,0.0%,+/-18.5,0,+/-12,0.0%,+/-18.5,0,+/-12,0.0%,+/-18.5,0,+/-12,0.0%,+/-18.5,0,+/-12,0.0%,+/-18.5
Trinity Center CDP,154,+/-78,0,+/-12,0.0%,+/-20.2,101,+/-46,65.6%,+/-30.1,0,+/-12,0.0%,+/-20.2,46,+/-64,29.9%,+/-31.6,0,+/-12,0.0%,+/-20.2,0,+/-12,0.0%,+/-20.2,0,+/-12,0.0%,+/-20.2,7,+/-12,4.5%,+/-8.4
Trinity Village CDP,253,+/-115,0,+/-12,0.0%,+/-12.9,238,+/-114,94.1%,+/-6.8,0,+/-12,0.0%,+/-12.9,0,+/-12,0.0%,+/-12.9,0,+/-12,0.0%,+/-12.9,0,+/-12,0.0%,+/-12.9,3,+/-5,1.2%,+/-2.1,12,+/-16,4.7%,+/-6.3
Weaverville CDP,"3,158",+/-403,110,+/-109,3.5%,+/-3.4,"2,852",+/-391,90.3%,+/-4.6,11,+/-15,0.3%,+/-0.5,182,+/-119,5.8%,+/-3.8,1,+/-4,0.0%,+/-0.1,2,+/-4,0.1%,+/-0.1,0,+/-12,0.0%,+/-1.1,0,+/-12,0.0%,+/-1.1
Tulare County,"461,898",*****,"298,245",*****,64.6%,*****,"131,716",+/-669,28.5%,+/-0.1,"5,785",+/-375,1.3%,+/-0.1,"2,784",+/-347,0.6%,+/-0.1,"14,949",+/-635,3.2%,+/-0.1,624,+/-85,0.1%,+/-0.1,"1,002",+/-684,0.2%,+/-0.1,"6,793",+/-819,1.5%,+/-0.2
Allensworth CDP,575,+/-162,556,+/-162,96.7%,+/-3.2,0,+/-12,0.0%,+/-5.9,15,+/-16,2.6%,+/-2.8,0,+/-12,0.0%,+/-5.9,2,+/-4,0.3%,+/-0.7,0,+/-12,0.0%,+/-5.9,0,+/-12,0.0%,+/-5.9,2,+/-3,0.3%,+/-0.6
Alpaugh CDP,"1,145",+/-254,978,+/-242,85.4%,+/-7.0,115,+/-54,10.0%,+/-4.7,0,+/-12,0.0%,+/-3.0,42,+/-58,3.7%,+/-4.9,6,+/-10,0.5%,+/-0.8,0,+/-12,0.0%,+/-3.0,0,+/-12,0.0%,+/-3.0,4,+/-7,0.3%,+/-0.6
California Hot Springs CDP,47,+/-31,0,+/-12,0.0%,+/-44.9,39,+/-30,83.0%,+/-24.6,0,+/-12,0.0%,+/-44.9,0,+/-12,0.0%,+/-44.9,8,+/-12,17.0%,+/-24.6,0,+/-12,0.0%,+/-44.9,0,+/-12,0.0%,+/-44.9,0,+/-12,0.0%,+/-44.9
Camp Nelson CDP,0,+/-12,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**
Cedar Slope CDP,0,+/-12,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**
Cutler CDP,"5,214","+/-1,069","5,167","+/-1,049",99.1%,+/-0.9,47,+/-48,0.9%,+/-0.9,0,+/-17,0.0%,+/-0.7,0,+/-17,0.0%,+/-0.7,0,+/-17,0.0%,+/-0.7,0,+/-17,0.0%,+/-0.7,0,+/-17,0.0%,+/-0.7,0,+/-17,0.0%,+/-0.7
Delft Colony CDP,715,+/-713,612,+/-669,85.6%,+/-19.0,103,+/-118,14.4%,+/-19.0,0,+/-12,0.0%,+/-4.8,0,+/-12,0.0%,+/-4.8,0,+/-12,0.0%,+/-4.8,0,+/-12,0.0%,+/-4.8,0,+/-12,0.0%,+/-4.8,0,+/-12,0.0%,+/-4.8
Dinuba city,"24,015",+/-40,"20,701",+/-374,86.2%,+/-1.6,"2,520",+/-350,10.5%,+/-1.5,79,+/-69,0.3%,+/-0.3,42,+/-43,0.2%,+/-0.2,466,+/-241,1.9%,+/-1.0,3,+/-6,0.0%,+/-0.1,38,+/-62,0.2%,+/-0.3,166,+/-109,0.7%,+/-0.5
Ducor CDP,636,+/-237,604,+/-237,95.0%,+/-4.2,23,+/-16,3.6%,+/-2.8,0,+/-12,0.0%,+/-5.4,9,+/-18,1.4%,+/-2.9,0,+/-12,0.0%,+/-5.4,0,+/-12,0.0%,+/-5.4,0,+/-12,0.0%,+/-5.4,0,+/-12,0.0%,+/-5.4
Earlimart CDP,"8,668",+/-676,"8,143",+/-698,93.9%,+/-3.1,0,+/-17,0.0%,+/-0.4,0,+/-17,0.0%,+/-0.4,0,+/-17,0.0%,+/-0.4,525,+/-273,6.1%,+/-3.1,0,+/-17,0.0%,+/-0.4,0,+/-17,0.0%,+/-0.4,0,+/-17,0.0%,+/-0.4
East Orosi CDP,798,+/-400,792,+/-401,99.2%,+/-1.2,6,+/-8,0.8%,+/-1.2,0,+/-12,0.0%,+/-4.3,0,+/-12,0.0%,+/-4.3,0,+/-12,0.0%,+/-4.3,0,+/-12,0.0%,+/-4.3,0,+/-12,0.0%,+/-4.3,0,+/-12,0.0%,+/-4.3
East Porterville CDP,"6,291",+/-965,"4,956","+/-1,024",78.8%,+/-5.9,"1,220",+/-282,19.4%,+/-5.7,1,+/-4,0.0%,+/-0.1,0,+/-17,0.0%,+/-0.6,70,+/-64,1.1%,+/-1.0,19,+/-22,0.3%,+/-0.4,0,+/-17,0.0%,+/-0.6,25,+/-22,0.4%,+/-0.3
East Tulare Villa CDP,853,+/-240,585,+/-228,68.6%,+/-11.3,180,+/-72,21.1%,+/-9.3,0,+/-12,0.0%,+/-4.0,9,+/-12,1.1%,+/-1.4,70,+/-59,8.2%,+/-6.7,0,+/-12,0.0%,+/-4.0,0,+/-12,0.0%,+/-4.0,9,+/-11,1.1%,+/-1.4
El Rancho CDP,59,+/-106,59,+/-106,100.0%,+/-40.1,0,+/-12,0.0%,+/-40.1,0,+/-12,0.0%,+/-40.1,0,+/-12,0.0%,+/-40.1,0,+/-12,0.0%,+/-40.1,0,+/-12,0.0%,+/-40.1,0,+/-12,0.0%,+/-40.1,0,+/-12,0.0%,+/-40.1
Exeter city,"10,474",+/-61,"4,786",+/-577,45.7%,+/-5.5,"4,998",+/-514,47.7%,+/-4.9,84,+/-76,0.8%,+/-0.7,83,+/-82,0.8%,+/-0.8,377,+/-338,3.6%,+/-3.2,0,+/-19,0.0%,+/-0.3,0,+/-19,0.0%,+/-0.3,146,+/-117,1.4%,+/-1.1
Farmersville city,"10,716",+/-27,"9,499",+/-297,88.6%,+/-2.8,"1,021",+/-244,9.5%,+/-2.3,66,+/-79,0.6%,+/-0.7,0,+/-19,0.0%,+/-0.3,50,+/-39,0.5%,+/-0.4,3,+/-6,0.0%,+/-0.1,72,+/-110,0.7%,+/-1.0,5,+/-10,0.0%,+/-0.1
Goshen CDP,"3,304",+/-701,"2,514",+/-657,76.1%,+/-10.9,508,+/-317,15.4%,+/-9.4,0,+/-12,0.0%,+/-1.1,21,+/-35,0.6%,+/-1.0,168,+/-205,5.1%,+/-6.0,18,+/-31,0.5%,+/-0.9,47,+/-75,1.4%,+/-2.3,28,+/-43,0.8%,+/-1.3
Hartland CDP,0,+/-12,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**
Idlewild CDP,0,+/-12,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**
Ivanhoe CDP,"4,215",+/-772,"3,618",+/-721,85.8%,+/-5.6,570,+/-237,13.5%,+/-5.4,0,+/-12,0.0%,+/-0.8,0,+/-12,0.0%,+/-0.8,0,+/-12,0.0%,+/-0.8,0,+/-12,0.0%,+/-0.8,0,+/-12,0.0%,+/-0.8,27,+/-35,0.6%,+/-0.8
Kennedy Meadows CDP,0,+/-12,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**,0,+/-12,-,**
Lemon Cove CDP,232,+/-144,0,+/-12,0.0%,+/-14.0,232,+/-144,100.0%,+/-14.0,0,+/-12,0.0%,+/-14.0,0,+/-12,0.0%,+/-14.0,0,+/-12,0.0%,+/-14.0,0,+/-12,0.0%,+/-14.0,0,+/-12,0.0%,+/-14.0,0,+/-12,0.0%,+/-14.0
Lindcove CDP,287,+/-133,180,+/-109,62.7%,+/-21.6,104,+/-70,36.2%,+/-21.2,0,+/-12,0.0%,+/-11.5,0,+/-12,0.0%,+/-11.5,0,+/-12,0.0%,+/-11.5,0,+/-12,0.0%,+/-11.5,0,+/-12,0.0%,+/-11.5,3,+/-6,1.0%,+/-2.0
Lindsay city,"13,310",+/-32,"11,577",+/-352,87.0%,+/-2.6,"1,486",+/-312,11.2%,+/-2.3,56,+/-59,0.4%,+/-0.4,9,+/-19,0.1%,+/-0.1,120,+/-106,0.9%,+/-0.8,0,+/-19,0.0%,+/-0.3,0,+/-19,0.0%,+/-0.3,62,+/-87,0.5%,+/-0.7
Linnell Camp CDP,928,+/-430,928,+/-430,100.0%,+/-3.7,0,+/-12,0.0%,+/-3.7,0,+/-12,0.0%,+/-3.7,0,+/-12,0.0%,+/-3.7,0,+/-12,0.0%,+/-3.7,0,+/-12,0.0%,+/-3.7,0,+/-12,0.0%,+/-3.7,0,+/-12,0.0%,+/-3.7
London CDP,"1,690",+/-251,"1,539",+/-252,91.1%,+/-3.5,119,+/-50,7.0%,+/-3.1,11,+/-15,0.7%,+/-0.9,0,+/-12,0.0%,+/-2.0,15,+/-14,0.9%,+/-0.9,0,+/-12,0.0%,+/-2.0,0,+/-12,0.0%,+/-2.0,6,+/-9,0.4%,+/-0.5
McClenney Tract CDP,47,+/-48,0,+/-12,0.0%,+/-44.9,47,+/-48,100.0%,+/-44.9,0,+/-12,0.0%,+/-44.9,0,+/-12,0.0%,+/-44.9,0,+/-12,0.0%,+/-44.9,0,+/-12,0.0%,+/-44.9,0,+/-12,0.0%,+/-44.9,0,+/-12,0.0%,+/-44.9
Matheny CDP,"1,137",+/-273,964,+/-258,84.8%,+/-6.1,113,+/-46,9.9%,+/-4.2,51,+/-50,4.5%,+/-4.3,9,+/-13,0.8%,+/-1.1,0,+/-12,0.0%,+/-3.0,0,+/-12,0.0%,+/-3.0,0,+/-12,0.0%,+/-3.0,0,+/-12,0.0%,+/-3.0
Monson CDP,283,+/-219,198,+/-178,70.0%,+/-37.1,33,+/-43,11.7%,+/-13.1,21,+/-34,7.4%,+/-9.8,0,+/-12,0.0%,+/-11.6,0,+/-12,0.0%,+/-11.6,0,+/-12,0.0%,+/-11.6,0,+/-12,0.0%,+/-11.6,31,+/-53,11.0%,+/-16.0
Orosi CDP,"8,300",+/-949,"6,984",+/-961,84.1%,+/-4.1,270,+/-228,3.3%,+/-2.7,0,+/-17,0.0%,+/-0.4,248,+/-213,3.0%,+/-2.6,669,+/-318,8.1%,+/-3.7,0,+/-17,0.0%,+/-0.4,0,+/-17,0.0%,+/-0.4,129,+/-134,1.6%,+/-1.6
Panorama Heights CDP,49,+/-25,0,+/-12,0.0%,+/-44.0,49,+/-25,100.0%,+/-44.0,0,+/-12,0.0%,+/-44.0,0,+/-12,0.0%,+/-44.0,0,+/-12,0.0%,+/-44.0,0,+/-12,0.0%,+/-44.0,0,+/-12,0.0%,+/-44.0,0,+/-12,0.0%,+/-44.0
Patterson Tract CDP,"2,085",+/-641,"1,801",+/-633,86.4%,+/-7.1,266,+/-129,12.8%,+/-6.8,0,+/-12,0.0%,+/-1.7,0,+/-12,0.0%,+/-1.7,0,+/-12,0.0%,+/-1.7,0,+/-12,0.0%,+/-1.7,0,+/-12,0.0%,+/-1.7,18,+/-29,0.9%,+/-1.4
Pierpoint CDP,39,+/-58,0,+/-12,0.0%,+/-49.3,18,+/-28,46.2%,+/-10.9,0,+/-12,0.0%,+/-49.3,21,+/-30,53.8%,+/-10.9,0,+/-12,0.0%,+/-49.3,0,+/-12,0.0%,+/-49.3,0,+/-12,0.0%,+/-49.3,0,+/-12,0.0%,+/-49.3
Pine Flat CDP,146,+/-102,0,+/-12,0.0%,+/-21.1,127,+/-91,87.0%,+/-21.1,0,+/-12,0.0%,+/-21.1,19,+/-34,13.0%,+/-21.1,0,+/-12,0.0%,+/-21.1,0,+/-12,0.0%,+/-21.1,0,+/-12,0.0%,+/-21.1,0,+/-12,0.0%,+/-21.1
Pixley CDP,"3,347",+/-709,"2,955",+/-666,88.3%,+/-6.3,263,+/-170,7.9%,+/-4.6,129,+/-131,3.9%,+/-4.0,0,+/-12,0.0%,+/-1.0,0,+/-12,0.0%,+/-1.0,0,+/-12,0.0%,+/-1.0,0,+/-12,0.0%,+/-1.0,0,+/-12,0.0%,+/-1.0
Plainview CDP,887,+/-352,814,+/-347,91.8%,+/-7.4,73,+/-64,8.2%,+/-7.4,0,+/-12,0.0%,+/-3.9,0,+/-12,0.0%,+/-3.9,0,+/-12,0.0%,+/-3.9,0,+/-12,0.0%,+/-3.9,0,+/-12,0.0%,+/-3.9,0,+/-12,0.0%,+/-3.9
Ponderosa CDP,18,+/-27,0,+/-12,0.0%,+/-72.5,18,+/-27,100.0%,+/-72.5,0,+/-12,0.0%,+/-72.5,0,+/-12,0.0%,+/-72.5,0,+/-12,0.0%,+/-72.5,0,+/-12,0.0%,+/-72.5,0,+/-12,0.0%,+/-72.5,0,+/-12,0.0%,+/-72.5
Poplar-Cotton Center CDP,"2,259",+/-565,"1,433",+/-392,63.4%,+/-13.3,232,+/-157,10.3%,+/-6.3,0,+/-12,0.0%,+/-1.5,0,+/-12,0.0%,+/-1.5,501,+/-321,22.2%,+/-11.6,0,+/-12,0.0%,+/-1.5,0,+/-12,0.0%,+/-1.5,93,+/-115,4.1%,+/-4.8
