Geography,Total Population - Estimate,"Total Population - 
Margin of Error",Hispanic or Latino - Estimate,"Hispanic or Latino -
Margin of Error",Hispanic or Latino - Percent,Hispanic or Latino - Percent Margin of Error,"White alone, Not Hispanic or Latino - 
Estimate","White alone, Not Hispanic or Latino -
Margin of Error","White alone, Not Hispanic or Latino - 
Percent","White alone, Not Hispanic or Latino - Percent Margin of Error","Black alone, Not Hispanic or Latino - Estimate","Black alone, Not Hispanic or Latino -
Margin of Error","Black alone, Not Hispanic or Latino - Percent","Black alone, Not Hispanic or Latino - Percent Margin of Error","American Indian and Alaska Native alone, Not Hispanic or Latino - Estimate","American Indian and Alaska Native alone, Not Hispanic or Latino - Margin of Error","American Indian and Alaska Native alone, Not Hispanic or Latino - Percent","American Indian and Alaska Native alone, Not Hispanic or Latino - Percent Margin of Error","Asian alone, Not Hispanic or Latino - Estimate","Asian alone, Not Hispanic or Latino - 
Margin of Error","Asian alone, Not Hispanic or Latino - Percent","Asian alone, Not Hispanic or Latino - Percent Margin of Error","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Estimate","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Margin of Error","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Percent","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Percent Margin of Error","Some other race alone, Not Hispanic or Latino - 
Estimate","Some other race alone, Not Hispanic or Latino - 
Margin of Error","Some other race alone, Not Hispanic or Latino - 
Percent","Some other race alone, Not Hispanic or Latino - 
Percent Margin of Error","Two or more races alone, Not Hispanic or Latino - Estimate","Two or more races alone, Not Hispanic or Latino - Margin of Error","Two or more races alone, Not Hispanic or Latino - Percent","Two or more races alone, Not Hispanic or Latino - Percent Margin of Error"
Camanche North Shore CDP,"1,139",+/-371,180,+/-95,15.8%,+/-7.2,938,+/-331,82.4%,+/-7.9,0,+/-12,0.0%,+/-3.0,0,+/-12,0.0%,+/-3.0,0,+/-12,0.0%,+/-3.0,0,+/-12,0.0%,+/-3.0,0,+/-12,0.0%,+/-3.0,21,+/-29,1.8%,+/-2.6
Camanche Village CDP,903,+/-246,63,+/-70,7.0%,+/-7.4,806,+/-207,89.3%,+/-7.3,0,+/-12,0.0%,+/-3.8,5,+/-10,0.6%,+/-1.1,0,+/-12,0.0%,+/-3.8,0,+/-12,0.0%,+/-3.8,0,+/-12,0.0%,+/-3.8,29,+/-31,3.2%,+/-3.1
Drytown CDP,21,+/-27,0,+/-12,0.0%,+/-67.2,21,+/-27,100.0%,+/-67.2,0,+/-12,0.0%,+/-67.2,0,+/-12,0.0%,+/-67.2,0,+/-12,0.0%,+/-67.2,0,+/-12,0.0%,+/-67.2,0,+/-12,0.0%,+/-67.2,0,+/-12,0.0%,+/-67.2
Fiddletown CDP,324,+/-226,6,+/-12,1.9%,+/-4.1,318,+/-224,98.1%,+/-4.1,0,+/-12,0.0%,+/-10.2,0,+/-12,0.0%,+/-10.2,0,+/-12,0.0%,+/-10.2,0,+/-12,0.0%,+/-10.2,0,+/-12,0.0%,+/-10.2,0,+/-12,0.0%,+/-10.2
Ione city,"7,753",+/-24,"1,800",+/-277,23.2%,+/-3.6,"4,845",+/-300,62.5%,+/-3.9,765,+/-112,9.9%,+/-1.4,73,+/-32,0.9%,+/-0.4,78,+/-38,1.0%,+/-0.5,5,+/-9,0.1%,+/-0.1,4,+/-8,0.1%,+/-0.1,183,+/-75,2.4%,+/-1.0
Jackson city,"4,751",+/-31,502,+/-259,10.6%,+/-5.5,"3,860",+/-281,81.2%,+/-5.9,11,+/-10,0.2%,+/-0.2,0,+/-12,0.0%,+/-0.7,167,+/-144,3.5%,+/-3.0,32,+/-45,0.7%,+/-1.0,0,+/-12,0.0%,+/-0.7,179,+/-102,3.8%,+/-2.1
Kirkwood CDP (Combined Total - Alpine/Amador Counties),80,+/-41,22,+/-23,27.5%,+/-32.2,44,+/-36,55.0%,+/-25.9,9,+/-22,11.3%,+/-28.2,0,+/-12,0.0%,+/-33.7,5,+/-13,6.3%,+/-15.7,0,+/-12,0.0%,+/-33.7,0,+/-12,0.0%,+/-33.7,0,+/-12,0.0%,+/-33.7
Martell CDP,400,+/-242,15,+/-25,3.8%,+/-7.9,378,+/-246,94.5%,+/-8.7,0,+/-12,0.0%,+/-8.4,0,+/-12,0.0%,+/-8.4,0,+/-12,0.0%,+/-8.4,0,+/-12,0.0%,+/-8.4,0,+/-12,0.0%,+/-8.4,7,+/-11,1.8%,+/-3.0
Pine Grove CDP,"1,762",+/-450,313,+/-161,17.8%,+/-8.7,"1,434",+/-428,81.4%,+/-8.7,0,+/-12,0.0%,+/-2.0,0,+/-12,0.0%,+/-2.0,0,+/-12,0.0%,+/-2.0,0,+/-12,0.0%,+/-2.0,0,+/-12,0.0%,+/-2.0,15,+/-20,0.9%,+/-1.2
Pioneer CDP,"1,386",+/-327,192,+/-126,13.9%,+/-9.0,"1,097",+/-319,79.1%,+/-11.7,6,+/-11,0.4%,+/-0.8,11,+/-16,0.8%,+/-1.2,0,+/-12,0.0%,+/-2.5,0,+/-12,0.0%,+/-2.5,0,+/-12,0.0%,+/-2.5,80,+/-75,5.8%,+/-5.3
Plymouth city,980,+/-228,389,+/-168,39.7%,+/-13.6,525,+/-164,53.6%,+/-13.6,5,+/-17,0.5%,+/-1.7,6,+/-8,0.6%,+/-0.8,9,+/-16,0.9%,+/-1.6,0,+/-12,0.0%,+/-3.5,0,+/-12,0.0%,+/-3.5,46,+/-44,4.7%,+/-4.2
